Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2023-01-04,83.0,83.37,80.87,81.33,1842924.0,81.6815,35424.0,0.0022645093747022,0.0563709572671773,0.0293010505100446,0.0053807031731943,77.5627,78.5977,87.3484,86.286,49.6025,12.2578,156.6687,6.6667,53.3333,82.2346,77.5627,72.8907,36878141.8809,30120214.0
2023-01-03,81.88,81.99,79.24,81.9,1286955.0,81.1619,24269.0,0.0014644039490461,0.0308370044052859,0.0298643122160568,0.0053807031731943,77.418,78.4092,94.0622,79.534,50.0578,12.6387,142.0478,10.0,56.6667,81.8784,77.418,72.9576,38042869.8489,31963138.0
2022-12-30,76.77,79.05,76.53,78.95,1255839.0,78.2982,24441.0,-0.0010134333216979,-0.0430303030303035,0.0298666040225061,0.0029659735781563,77.3363,78.1685,77.4475,68.7936,47.6539,13.0427,36.0791,13.3333,60.0,81.5483,77.3363,73.1244,36840151.9035,30676183.0
2022-12-29,78.0,79.44,77.6933,79.01,979175.0,78.9583,22321.0,-0.0020103266264322,-0.0716719539419578,0.0303369021865482,0.0029659735781563,77.4547,78.1146,67.0923,67.1763,47.699,13.2985,46.7527,16.6667,63.3333,82.0255,77.4547,72.8839,35683982.6654,31932022.0
2022-12-28,76.09,78.24,76.07,76.61,1616280.0,77.0155,30867.0,-0.0020000312697851,-0.0713939393939396,0.0303482644940903,0.0029659735781563,77.658,78.0528,61.841,70.6926,45.7106,13.6222,-21.7297,20.0,66.6667,82.9701,77.658,72.3459,35186911.3466,30952847.0
2022-12-27,76.65,76.92,73.93,76.52,1178634.0,76.1429,24674.0,-0.0025210588700919,-0.0858917692032016,0.0304233464792393,0.002566761333291,77.8543,78.1523,72.5955,73.0098,45.6356,13.891,-61.7403,23.3333,70.0,83.426,77.8543,72.2827,35998775.4941,29336567.0
2022-12-23,77.6,78.18,76.19,77.7,943999.0,77.5582,21327.0,0.0002246652907265,-0.0094339622641509,0.0327819889096229,0.0053807031731943,78.094,78.2649,77.6414,63.7943,46.4481,14.0962,-19.7659,26.6667,73.3333,84.0226,78.094,72.1654,35135495.0727,30515201.0
2022-12-22,75.92,78.06,75.74,77.96,1646041.0,76.9123,32392.0,0.0036224814036605,0.0918767507002804,0.0372193202533029,0.0060354605164587,78.1187,78.3039,68.7926,46.6727,46.6249,14.417,-23.0399,0.0,76.6667,84.0467,78.1187,72.1907,34646892.5752,31459200.0
2022-12-21,76.93,79.395,76.5,77.49,1509179.0,78.1161,29473.0,0.002569570053275,0.0575951958509621,0.0375803633157165,0.0053807031731943,77.9,78.3276,44.9489,26.986,46.2675,14.7425,-1.2505,3.3333,80.0,84.3004,77.9,71.4996,33142751.6614,29813159.0
2022-12-20,72.2,77.35,72.2,76.51,2010342.0,75.9459,35735.0,0.0020654501205945,0.0418028322440089,0.0375410454620103,0.002566761333291,77.7593,78.3854,26.2766,18.2004,45.5324,15.1149,-59.2986,6.6667,83.3333,84.3716,77.7593,71.1471,33619746.0604,28303980.0
